Date,Actual,Pred
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,1
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-08,1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,1
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-09,-1,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,1
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-12,0,0
2017-06-13,0,0
2017-06-13,0,0
2017-06-13,0,0
2017-06-13,0,1
2017-06-13,0,0
2017-06-13,0,1
2017-06-13,0,0
2017-06-13,0,0
2017-06-13,0,0
